# English-German dictionary created from English Wiktionary
# Created on: 2010-10-07T23:21:21+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
-ible	-bar
Czech Republic	Tschechische Republik
Czechia	Tschechien
DNA	DNS
Damascus	Damaskus
Dane	Däne
Daniel	Daniel
Danish	Dänisch
Danish	dänisch
Danube	Donau
David	David
Dead Sea	Totes Meer
December	Dezember
Democritus	Demokrit
Denmark	Dänemark
Dervish	Derwisch
Djibouti	Dschibuti
Dominica	Dominica
Dominican Republic	Dominikanische Republik
Doric	Dorische
Dublin	Dublin
Dubrovnik	Dubrovnik
Dutch	Niederländisch
Dutch	niederländisch
Dutch	Niederländer
EU	Europäische
Earth	Erde
East Germany	Ostdeutschland
East Timor	Osttimor
Easter	Ostern
Easter Island	Osterinsel
Easter egg	Osterei
Eastern Europe	Osteuropa
Ecuador	Ecuador
Edward	Eduard
Egypt	Ägypten
Egyptian	Ägypter
Egyptian	ägyptisch
El Salvador	El Salvador
Elizabeth	Elisabeth
Emily	Emilie
England	England
English	Englisch
English	Engländer
English	englisch
Englishman	Engländer
Epirus	Epirus
Equatorial Guinea	Äquatorialguinea
Eric	Erich
Eritrea	Eritrea
Ernest	Ernst
Esperanto	Esperanto
Esther	Ester
Estonia	Estland
Estonian	Estnisch
Estonian	estnisch
Estonian	Este
Ethiopia	Äthiopien
Euclidean geometry	euklidische Geometrie
Euripides	Euripides
Europe	Europa
European	Europäer
European	europäisch
European Central Bank	Europäische Zentralbank
European Union	Europäische Union
European bison	Wisent
Exodus	Exodus
Falkland Islands	Falklandinseln
Faroe Islands	die Färöer
Faroese	Färöisch
February	Februar
Ferris wheel	Riesenrad
Fez	Fès
Fiji	Fidschi
Finland	Finnland
Finn	Finne
Finnish	Finnisch
Finnish	finnisch
Flanders	Flandern
Flemish	Flämisch
Fomalhaut	Fomalhaut
France	Frankreich
Francis	Franz
French	Französisch
French	die Franzosen
French	französisch
French Guiana	Französisch-Guayana
Friday	Freitag
Frisian	friesisch
Frisian	Friese
GDP	BIP
Gabon	Gabun
Galicia	Galizien
Galician	Galizisch
Gambia	Gambia
Ganesha	Ganesha
Ganges	Ganges
Gatling gun	Gatling-Kanone
Gemini	Zwillinge
Geneva	Genf
Geneva	Kanton Genf
Genoa	Genua
George	Georg
Georgetown	Georgetown
Georgia	Georgien
Georgian	georgisch
Georgian	Georgier
German	Deutsch
German	Deutscher
German	deutsch
Germany	Deutschland
Ghana	Ghana
Gibraltar	Gibraltar
Glasgow	Glasgow
Gnosticism	Gnostizismus
God	Gott
Goddess	Göttin
Good Friday	Karfreitag
Great Britain	Großbritannien
Great Pyramid of Giza	Cheops-Pyramide
Greece	Griechenland
Greek	Griechisch
Greek	Grieche
Greek	griechisch
Greenland	Grönland
Greenlandic	Grönländisch
Grenada	Grenada
Guadeloupe	Guadeloupe
Guam	Guam
Guatemala	Guatemala
Guernsey	Guernsey
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Gujarati	Gujaratisch
Gulf of Bothnia	Bottnischer Meerbusen
Gulf of Finland	Finnischer Meerbusen
Gulf of Riga	Rigaischer Meerbusen
Guyana	Guyana
Gypsy	Zigeuner
Habakkuk	Habakuk
Haiti	Haiti
Hanukkah	Chanukka
Happy Easter	frohe Ostern
Happy New Year	Ein Frohes Neues Jahr
Havana	Havanna
Hebrew	Hebräisch
Hebrew	hebräisch
Hebrew	Hebräer
Hegira	Hedschra
Helen	Helene
Henry	Heinrich
Herman	Hermann
Herodotus	Herodot
Hesiod	Hesiod
Hezbollah	Hisbollah
Hijra	Hedschra
Hindi	Hindi
Hinduism	Hinduismus
Hippocrates	Hippokrates
Holland	Niederland
Holy Ghost	Heilige Geist
Holy Grail	der Heilige Gral
Holy Roman Empire	Heiliges Römisches Reich
Holy Spirit	Heilige Geist
Honduras	Honduras
Hong Kong	Hongkong
Hubble constant	Hubble-Konstante
Human Resource Management	Personalwesen
Hungarian	Ungarisch
Hungarian	Ungar
Hungarian	ungarisch
Hungarian notation	ungarische Notation
Hungary	Ungarn
I	ich
I don't know	ich weiß nicht
I don't understand	ich verstehe nicht
I love you	Ich liebe dich
I love you	Ich mag dich
I'm fine, thank you	mir geht's gut, danke
Iceland	Island
Icelandic	Isländisch
Icelandic	isländisch
India	Indien
Indian	indisch
Indian	Inder
Indian	indianisch
Indian	Indianer
Indonesia	Indonesien
Indonesian	Indonesisch
Indonesian	Indonesier
Indonesian	indonesisch
Indus Valley Civilization	Indus-Kultur
Interlingua	Interlingua
International Phonetic Alphabet	Internationales phonetisches Alphabet
Internet	Internet
Ionian Sea	Ionisches Meer
Iran	Iran
Iraq	Irak
Iraqi	Iraker
Iraqi	irakisch
Ireland	Irland
Irene	Irene
Irish	Irisch
Irish	Ire
Irish	irisch
Iron Age	Eisenzeit
Is it going to rain?	Wird es regnen
Isaac	Isaak
Isaiah	Jesaja
Ishmael	Ismael
Islam	Islam
Islamic	islamisch
Isle of Man	Insel Man
Israel	Israel
Israeli	Israeli
Israeli	israelisch
Italian	Italienisch
Italian	Italiener
Italian	italienisch
Italy	Italien
Ivory Coast	Elfenbeinküste
Ixion	Ixion
Ixion	28978 Ixion
Jacob	Jakob
Jainism	Jainismus
Jalalabad	Dschalalabad
Jamaica	Jamaika
James	Jakob
Jane	Johanna
January	Januar
Janus	Janus
Japan	Japan
Japanese	Japanisch
Japanese	Japaner
Japanese	japanisch
Jehovah	Jehova
Jehovah's Witnesses	Jehovas Zeuge
Jeremiah	Jeremia
Jerusalem	Jerusalem
Jesus	Jesus
Jew	Jude
Jew's harp	Maultrommel
Jewess	Jüdin
Jewish	jüdisch
John	Johann
John	Johannes
Jordan	Jordanien
Jordan	Jordan
Joseph	Josef
Judaism	Judentum
Juliet	Julia
July	Juli
June	Juni
Justin	Justin
Kabul	Kabul
Kali	Kali
Karachi	Karatschi
Karelian	Karelisch
Karlovac	Karlovac, Karlstadt
Kashubian	Kaschubisch
Kazakhstan	Kasachstan
Kazan	Kasan
Kenya	Kenia
Khartoum	Khartum
Khrushchev	Chruschtschow
Kiribati	Kiribati
Klingon	Klingonisch
Kohtla-Järve	Kohtla-Järve
Korea	Korea
Korean	Koreanisch
Korean	Koreaner
Korean	koreanisch
Kosovo	Kosovo
Kurdish	Kurdisch
Kurdistan	Kurdistan
Kuwait	Kuwait
Kyoto	Kyōto
Kyrgyzstan	Kirgisistan
Lao	Laote
Lao	Laotisch
Laos	Laos
Laotian	Laote
Laotian	Laotisch
Latin	Latein
Latin	lateinisch
Latin	Römer
Latin	römisch
Latin	lateinamerikanisch
Latin	latinisch
Latin	romanisch
Latin alphabet	lateinisches Alphabet
Latvia	Lettland
Latvian	Lettisch
Latvian	Lette
Laura	Laura
Laurence	Lorenz
Lebanon	Libanon
Leo	Löwe
Lesotho	Lesotho
Liberia	Liberia
Libra	Waage
Libya	Libyen
Liechtenstein	Liechtenstein
Lisbon	Lissabon
Lithuania	Litauen
Lithuanian	Litauisch
Lithuanian	Litauer
Lithuanian	litauisch
Little Red Riding Hood	Rotkäppchen
Livonian	Livisch
Lombardy	Lombardei
London	London
Louis	Ludwig
Lucian	Lukian
Luke	Lukas
Luxembourg	Luxemburg
Macedonia	(Ehemalige Jugoslawische Republik) Mazedonien
Macedonia	Makedonien
Macedonian	Mazedonisch
Madagascar	Madagaskar
Madrid	Madrid
Majorca	Mallorca
Malawi	Malawi
Malay	Malaiisch
Malayalam	Malayalam
Malaysia	Malaysia
Maldives	Malediven
Mali	Mali
Malta	Malta
Man	Mensch
Mandarin	Mandarin
Manila hemp	Manila
Manitoba	Manitoba
March	März
Margaret	Margarete
Mars	Mars
Marshall Islands	Marshallinseln
Marshallese	Marshallisch
Martha	Martha
Martian	Marsianer
Martin	Martin
Martinique	Martinique
Marxism	Marxismus
Mary	Maria
Matthew	Matthias
Mauritania	Mauretanien
Mauritius	Mauritius
May	Mai
Mayotte	Mayotte
McDonald's	McDonald’s
Mecca	Mekka
Mediterranean Sea	Mittelmeer
Mercury	der Merkur
Mercury	Merkur
Merry Christmas	Frohe Weihnachten
Merry Christmas and a Happy New Year!	Frohe Weihnachten und ein glückliches Neues Jahr
Mesolithic	Mittelsteinzeit
Meuse	Maas
Mexico	Mexiko
Mexico City	Mexiko-Stadt
Micah	Mica
Michael	Michael
Mickey Mouse	Micky Maus
Micronesia	Mikronesien
Middle Ages	Mittelalter
Middle East	Naher Osten
Milan	Mailand
Milky Way	Milchstraße
Minorca	Menorca
Mirandese	Mirandés
Miriam	Miriam, Mirjam
Miss	Fräulein
Mississippi	Mississippi
Missouri	Missouri
Moksha	Mokscha
Moldova	Moldau
Monaco	Monaco
Monastir	Bitola
Monday	Montag
Mongolia	Mongolei
Mongolian	mongolisch
Mongolian	Mongole
Mongolian	Mongolisch
Moon	Mond
Morocco	Marokko
Moscow	Moskau
Moses	Moses
Mount Everest	Mount Everest
Mozambique	Mosambik
Mr	Hr
Mrs	Fr
Muay Thai	Muay Thai
Muggle	Muggel
Munich	München
Muntenia	Große Walachei
Muscat	Maskat
Muse	Muse
Muslim	Muslim
Muslim	muslimisch
Myanmar	Myanmar
Möbius strip	Möbiusband
NATO	NATO
Nagykanizsa	Großkanizsa
Nahuatl	Nahuatl
Namibia	Namibia
Naples	Neapel
Nauru	Nauru
Nenets	nenzisch
Neolithic	Jungsteinzeit
Nepal	Nepal
Neptune	Neptun
Netherlands	die Niederlande
Netherlands	niederlandisch
New Delhi	Neu-Delhi
New Guinea	Neuguinea
New Jersey	New Jersey
New South Wales	New South Wales
New Testament	Neues Testament
New Year	Neujahr
New Year's Day	Neujahr
New York	New York City, New York
New York	New York
New York City	New York
New Zealand	Neuseeland
Nicaragua	Nicaragua
Nicholas	Nikolaus
Niger	Niger
Nigeria	Nigeria
Nike	Nike
Nile	Nil
Niue	Niue
Noah	Noah
Norfolk Island	Norfolkinsel
North America	Nordamerika
North Korea	Nordkorea
North Pole	Nordpol
North Sea	Nordsee
Northern Europe	Nordeuropa
Northern Territory	Northern Territory
Norway	Norwegen
Norwegian	Norwegisch
Norwegian	Norweger
Norwegian	norwegisch
November	November
Novi Sad	Neusatz
Nyx	Nyx
Occam's razor	Ockhams Rasiermesser
Occitan	Okzitanisch
Oceania	Ozeanien
October	Oktober
Odyssey	Odysee
Old Church Slavonic	Altkirchenslawisch
Old Slavonic	Altkirchenslawisch
Old Slavonic	Urslawisch
Oltenia	Kleine Walachei
Olympic Games	Olympische Spiele
Olympic Winter Games	Olympische Winterspiele
Oman	Oman
Orinoco	Orinoco
Orion	Orion
Ouagadougou	Ouagadougou
Our Lady	Unsere Liebe Frau
Oxford	Oxford
Pakistan	Pakistan
Palau	Palau
Paleolithic	Altsteinzeit
Palestine	Palästina
Panama	Panama
Panchatantra	Panchatantra
Pangaea	Pangäa
Papua New Guinea	Papua-Neuguinea
Paraguay	Paraguay
Paris	Paris
Parkinson's disease	Parkinson Krankheit
People's Republic of China	Volksrepublik China
Pericles	Perikles
Persia	Persien
Persian	Perser
Peru	Peru
Peshawar	Peschawar
Philip	Philipp
Philippines	Philippinen
Pisces	Fische
Planck's constant	Plancksches Wirkungsquantum
Planet X	Transpluto
Pliny	Plinius
Plutarch	Plutarch
Pluto	Pluto
Poland	Polen
Polish	Polnisch
Polish	polnisch
Popemobile	Papamobil
Portugal	Portugal
Portuguese	Portugiesisch
Portuguese	portugiesisch
Portuguese	Portugiese
Prague	Prag
Protestant	Protestant
Proto-Germanic	Gemeingermanisch
Proto-Indo-European	Urindogermanisch
Prussia	Preußen
Puerto Rico	Puerto Rico
Punjab	Pandjab
Punjabi	Pandschabi
Pythagoras	Pythagoras
QED	w.z.b.w.
Qatar	Katar
Quaker	Quäker
Quechua	Quechua
Qur'an	Koran
Rachel	Rachel
Rakvere	Rakvere, (old names: Wesenberg
Rangoon	Rangun
Red Sea	Rotes Meer
Revelation	Offenbarung
Rhine	Rhein
Richard	Richard
Riga	Riga
Robert	Robert
Roman	römisch
Roman Empire	Römisches Reich
Romania	Rumänien
Romanian	Rumänisch
Romanian	Rumäne
Romanian	rumänisch
Rome	Rom
Rome wasn't built in a day	Rom ist nicht an einem Tag erbaut worden
Rosetta Stone	Stein von Rosette
Roxanne	Roxane
Russia	Rußland
Russian	Russisch
Russian	Russe
Russian	russisch
Russian Federation	Russische Föderation
Rwanda	Ruanda
Saami	Sami
Sagittarius	Schütze
Saint Kitts and Nevis	St. Kitts und Nevis
Saint Lucia	Saint Lucia
Saint Vincent and the Grenadines	St. Vincent und die Grenadinen
Sami	Sami
Samoa	Samoa
Samosata	Samosata
Samuel	Samuel
San Marino	San Marino (1)
Sanskrit	Sanskrit
Santa Claus	Sankt Nikolaus
Sarah	Sara
Sarajevo	Sarajevo
Sardinia	Sardinien
Saturday	Samstag
Saturn	Saturn
Saudi Arabia	Saudi-Arabien
Scandinavia	Skandinavien
Schrödinger's cat	Schrödingers Katze
Scorpio	der Skorpion
Scorpius	der Skorpion
Scotland	Schottland
Sea of Japan	Japanische Meer
Senegal	Senegal
Seoul	Seoul
September	September
Septuagint	Septuaginta
Serb	Serbe
Serbia and Montenegro	Serbien und Montenegro
Serbian	Serbe
Serbian	serbisch
Serbo-Croatian	Serbokroatisch
Seville	Sevilla
Seychelles	Seychellen
Shanghai	Schanghai
Sherlock Holmes	Sherlock Holmes
Shiraz	Schiraz
Shiraz	Syrah
Siberia	Sibirien
Sicily	Sizilien
Sierra Leone	Sierra Leone
Singapore	Singapur
Sleeping Beauty	Dornröschen
Slovak	Slowake
Slovak	slowakisch
Slovakia	Slowakei
Slovene	Slowenisch
Slovene	Slowene
Slovene	slowenisch
Slovenia	Slowenien
Slovenian	Slowenisch
Slovenian	slowenisch
Slovenian	Slowene
Snow White	Schneewittchen
Sofia	Sofia
Solomon Islands	Salomonen
Somali	Somali
Somalia	Somalia
Sophia	Sophia
Sorbian	Sorbisch
South Africa	Südafrika
South America	Südamerika
South Korea	Südkorea
South Pole	Südpol
Southern Europe	Südeuropa
Soviet Union	Sowjetunion
Spain	Spanien
Spaniard	Spanier
Spanish	Spanisch
Spanish	spanisch
Spanish	die Spanier
Sphinx	Sphinx
Spider-Man	Spider-Man
Sri Lanka	Sri Lanka
Stephen	Stefan
Stone Age	Steinzeit
Sudan	Sudan
Sudeten	Sudeten
Sudetenland	Sudetenland
Suez Canal	Sueskanal
Sumerian	Sumerisch
Sun	Sonne
Sunday	Sonntag
Supreme Leader	Oberster Rechtsgelehrter
Suriname	Surinam
Svalbard	Svalbard, Spitzbergen
Svalbard and Jan Mayen Islands	Svalbard und Jan Mayen
Swahili	Suaheli
Swaziland	Swasiland
Swede	Schwede
Sweden	Schweden
Swedish	Schwedisch
Swedish	schwedisch
Switzerland	Schweiz
Syria	Syrien
T-shirt	T-shirt
TV	TV
Taiwan	Taiwan
Taiwanese	Taiwaner
Tajik	Tadschikisch
Tajikistan	Tadschikistan
Tamil Tigers	Liberation Tigers of Tamil Eelam
Tanzania	Tansania
Tasmania	Tasmanien
Tatar	tatarische Sprache
Taurus	Stier
Tehran	Teheran
Template:A-bomb/Translations	Atombombe
Template:color-colour (noun)	Farbe
Template:color-colour (verb)	färben
Template:color-colour (verb)	erröten
Template:mirror/Translations	Spiegel
Template:program-programme-noun	Programm
Ten Commandments	zehn Gebote
Teresa	Theresa
Tetris	Tetris
Teutonic Knights	Deutscher Orden
Thai	Thailändisch
Thai	Thailänder
Thai	thailändisch
Thailand	Thailand
Thames	Themse
The Hague	Den Haag
Thomas	Thomas
Thursday	Donnerstag
Tibet	Tibet
Timişoara	Timişoara
Togo	Togo
Tokelau	Tokelau
Tokyo	Tokio
Tonga	Tonga
Transnistria	Transnistrien
Transylvania	Siebenbürgen
Trinidad and Tobago	Trinidad und Tobago
Tuesday	Dienstag
Tunisia	Tunesien
Turk	Türke
Turkey	Türkei
Turkish	türkisch
Turkish	Türkisch
Turkmenistan	Turkmenistan
Tuvalu	Tuvalu
UFO	UFO
USA	die USA
USSR	UdSSR
Uganda	Uganda
Ukraine	Ukraine
Ukrainian	Ukrainisch
Ukrainian	Ukrainer
Ulrica	Ulrike
Uluru	Uluru
Unicode	Unicode
Union of Soviet Socialist Republics	Union der Sozialistischen Sowjetrepubliken
United Arab Emirates	Vereinigte Arabische Emirate
United Kingdom	Vereinigtes Königreich
United Nations	Vereinte Nationen
United States of America	Vereinigte Staaten von Amerika
Uranus	Uranus
Uruguay	Uruguay
Uzbekistan	Usbekistan
VAT	MWSt
Vancouver	Vancouver
Vanuatu	Vanuatu
Vatican City	Vatikanstadt
Venezuela	Venezuela
Venice	Venedig
Venus	Venus
Victoria	Viktoria
Victoria	Victoria
Vienna	Wien
Vietnam	Vietnam
Vietnamese	vietnamesisch
Vietnamese	Vietnamese
Vietnamese	Vietnamesisch
Vincent	Vinzenz, Vincent
Virgin Mary	Jungfrau Maria
Virgo	Jungfrau
Votic	Votisch
Vulgar Latin	Vulgärlatein
Wallachia	Walachei
Warsaw	Warschau
Wednesday	Mittwoch
Western Europe	Westeuropa
Western Sahara	Westsahara
Wheel of Fortune	Glücksrad
White House	Weiße Haus
Wikimedia Foundation	Wikimedia
Wikipedia	Wikipedia
Wiktionary	Wiktionary
Wiktionary:Votes/2007-10/Lemma entries/words	Wörter
William	Wilhelm
World War I	Erster Weltkrieg
World War II	Zweiter Weltkrieg
X-ray	Röntgenbild
X-ray	Röntgenstrahl
Yangon	Rangun
Yellow Sea	Gelbes Meer
Yemen	Jemen
Yiddish	Jiddisch
Young's modulus	Elastizitätsmodul
Yugoslavia	Jugoslavien
Zagreb	Agram
Zambia	Sambia
Zimbabwe	Simbabwe
Zoroastrianism	Zoroastrismus
Zürich	(1): Kanton Zürich
a little	etwas
aardvark	Erdferkel
abaca	Abaka
abandoned	verlassen
abase	erniedrigen
abash	beschämen
abbey	Abtei
abbreviated	abgekürzt
abdication	Verzicht
abdomen	Bauch
abduct	entführen
abessive case	Abessiv
abhor	verabscheuen
ability	Fähigkeit
ablative case	Ablativ
able	imstande
able	fähig
abolish	abschaffen
abominate	verabscheuen
abortion	Abtreibung
abortion	Abbruch
about	um
about	ungefähr
about	über
abrupt	abrupt
abscess	Abszess
absent	abwesend
absinth	Wermut
absinthe	Absinth
absolute	absolut
absolute zero	Absolutes null
absolutive case	Absolutiv
absolve	entbinden
absorb	aufsaugen
absorb	(ganz) in Anspruch nehmen
absorption	Absorption
abstention	Enthaltung
abstract	Auszug
abstract	abstrakt
absurd	absurd
abundance	Überfluß
abundant	reichlich vorhanden
abuse	Missbrauch
abuse	Misshandlung
abuse	missbrauchen
accelerate	beschleunigen
accelerate	eilen
acceleration	Beschleunigung
accept	annehmen
accept	akzeptieren
accept	hinnehmen
acceptable	annehmbar
acceptance	Abnahme
access	Zugang
accidentally	versehentlich
according to	laut
according to	entsprechend
accordion	Akkordeon
accumulate	sich vermehren
accumulator	Akkumulator
accuracy	Genauigkeit
accusative	Akkusativ
accusative case	Akkusativ
accusatory	anklagend
accuse	beschuldigen
ace	As
ace	Ass
acetate	Azetat
acetylene	Acetylen
ache	Schmerz
acid	sauer
acid	Säure
acid	Lysergsäure-diethylamid
acid rain	saurer Regen
acorn	Eichel
acrobat	Akrobat
acromegaly	Akromegalie
acronym	Akronym
act	Akt
act	Handlung
act	handeln
act	Gesetz
actinium	Actinium
action	Handlung
activate	aktivieren
activity	Aktivität
actor	Schauspieler
actor	Handelnde
actress	Schauspielerin
actual	tatsächlich
actual	gegenwärtig
actually	eigentlich
acupuncture	Akupunktur
ad hoc	ad hoc
add	addieren
add	hinzufügen
addition	Addition
addition	Zufügung
addition	Zusatz
address	Adresse
adequate	adäquat
adjectival	adjektivisch
adjective	Adjektiv
adjective	adjektivisch
adjust	anpassen
adjustment	Anpassung
administrator	Verwalter
admiration	Bewunderung
adult	Erwachsener
adultery	Ehebruch
advantage	Vorteil
adventure	Abenteuer
adverb	Adverb
adversary	Gegner
advertisement	Anzeige
advice	Rat
advocate	Rechtsanwalt
aeroplane	Flugzeug
aesthetic	ästhetisch
aesthetics	Ästhetik
aetiology	Ätiologie
after	nach
after	trotz
after	wegen
afternoon	Nachmittag
again	erneut
against	gegen
age	Alter
age	Zeit
age	Generation
age	Ära
age	alt werden
aggressive	aggressiv
agnosticism	Agnostizismus
ago	vor
agoraphobia	Agoraphobie
agouti	Aguti
agree	übereinstimmen
agreement	Einigkeit
agreement	Vertrag
agreement	Vereinbarung
agreement	Übereinstimmung
agriculture	Landwirtschaft
aid	helfen
aim	Ziel
air	Luft
air	lüften
air force	Luftwaffe
aircraft	Flugzeug
aircraft carrier	Flugzeugträger
airplane	Flugzeug
airport	Flughafen
al-Qaeda	Al-Qaida
alarm clock	Wecker
alas	o weh
albatross	Albatros
albeit	wenngleich
albino	albino
albumen	Eiweiß
alchemist	Alchemist
alcohol	Alkohol
alcoholic	Alkoholiker
alcoholic	alkoholisch
alder	Erle
ale	Ale
algebra	Algebra
algorithm	Algorithmus
alibi	Alibi
alien	Außerirdischer
alien	Fremder
alien	Fremdling
alive	lebendig
all	all
all	den ganz
all	völlig
all roads lead to Rome	Alle Wege führen nach Rom
allative case	Allativ
allegiance	Treue
alley	Allee
alligator	Alligator
alloy	Legierung
almond	Mandel
almond	Mandelbaum
almost	fast
alone	allein
alpaca	Alpaka
alphabet	Alphabet
